Name,Subject,PS,Year,WS,URL,,,,
A1,BA,Anhui Normal University,2020,Anhui Normal University,https://jgxy.ahnu.edu.cn/info/1174/9799.htm,,,,
A2,BA,Anhui Normal University,2019,Anhui Normal University,https://jgxy.ahnu.edu.cn/info/1174/9788.htm,,,,
A3,BA,Anhui Normal University,2011,Anhui Normal University,https://jgxy.ahnu.edu.cn/info/1174/9722.htm,,,,
A4,BA,Anhui University,2006,Anhui University,http://man.ahu.edu.cn/2020/0330/c14375a233444/page.htm,,,,
A5,BA,Anhui University,1996,Anhui University,http://man.ahu.edu.cn/2020/0312/c14375a230250/page.htm,,,,
A6,BA,Anhui University,1983,Anhui University,http://man.ahu.edu.cn/2021/0507/c14379a258731/page.htm,,,,
A7,BA,Anhui University,2010,Anhui University,http://jjxy.ahu.edu.cn/2017/1214/c9978a76471/page.htm,,,,
A8,BA,Anhui University,2014,Anhui University,http://jjxy.ahu.edu.cn/2017/1214/c9978a76457/page.htm,,,,
A9,BA,Anhui University,2013,Anhui University,http://jjxy.ahu.edu.cn/2017/1214/c9979a76483/page.htm,,,,
A10,BA,Anhui University,2010,Anhui University,http://jjxy.ahu.edu.cn/2017/1214/c9979a76479/page.htm,,,,
A11,BA,Anhui University,2018,Anhui University,http://jjxy.ahu.edu.cn/2017/1214/c9979a76478/page.htm,,,,
A12,BA,Anhui University of Finance and Economics,2005,Shandong Technology and Business University,https://gsgl.sdtbu.edu.cn/info/1056/2944.htm,,,,
A13,MS&E,Beihang University,2018,Tianjin University,http://come.tju.edu.cn/info/1092/3773.htm,,,,
A14,MS&E,Beihang University,2003,Beihang University,http://sem.buaa.edu.cn/szdw/glkxygcx/zy/jbxx.htm,,,,
A15,MS&E,Beihang University,2003,Beihang University,,,,,
A16,MS&E,Beihang University,2003,Beijing Institute of Technology,https://sme.bit.edu.cn/gbszdw/gbjxzy/gbsglgcx/b124760.htm,,,,
A17,MS&E,Beihang University,2002,Beijing Institute of Technology,,,,,
A18,MS&E,Beihang University,2007,Central South University,,,,,
A19,MS&E,Beihang University,,Hebei University of Technology,https://sem.hebut.edu.cn/zrjs/l/84411.htm,,,,
A20,MS&E,Beihang University,2008,Capital University of Economics and Business,https://ggxy.cueb.edu.cn/szdw/xxglyxxxtx/106108.htm,,,,
A21,MS&E,Beihang University,2008,Capital University of Economics and Business,https://ggxy.cueb.edu.cn/szdw/xxglyxxxtx/106111.htm,,,,
A22,MS&E,Beihang University,2019,Beijing University of Chemical Technology,https://sem.buct.edu.cn/2021/0913/c10400a156813/page.htm,,,,
A23,MS&E,Beihang University,2009,China University of Petroleum(East China),http://sem.upc.edu.cn/_upload/article/files/17/08/f3c7732245d9bc25800a97ba209d/638ebaf4-064f-4be7-9c18-8f4ec81e4ae4.pdf,,,,
A24,MS&E,Beihang University,2010,China University of Petroleum(East China),http://sem.upc.edu.cn/_upload/article/files/89/c0/c7f35d4341069f48cd91559e819d/41cd3f70-7601-4dca-ba34-4f176b884bcd.pdf,,,,
A25,MS&E,Beihang University,,Shenzhen University,https://ma.szu.edu.cn/szll1/axx/gsglx/czm.htm,,,,
A26,MS&E,Beihang University,,Shenzhen University,https://ma.szu.edu.cn/szll1/axx/gsglx/csj.htm,,,,
A27,MS&E,Beihang University,,Shenzhen University,https://ma.szu.edu.cn/szll1/axx/gsglx/pyc.htm,,,,
A28,MS&E,Beihang University,2014,Nanjing University of Science and Technology,https://sem.njust.edu.cn/39/4b/c13365a276811/page.htm,,,,
A29,MS&E,Beihang University,,China University of Petroleum  Beijing,https://www.cup.edu.cn/sba/szdwgb/glkxygcxgb/l1/177718.htm,,,,
A30,MS&E,Beihang University,2002,Beihang University,http://sem.buaa.edu.cn/szdw/glkxygcx/zqh/jbxx.htm,,,,
A31,MS&E,Beihang University,2011,Fuzhou University,https://jgxy.fzu.edu.cn/info/1032/15488.htm,,,,
A32,BA,Beihang University,2016,Beijing Foreign Studies University,https://ibs.bfsu.edu.cn/teacher.aspx?m=20140924134241013079&t_id=20150511085845790579,,,,
A33,BA,Beihang University,2006,Minzu University of China,https://ms.muc.edu.cn/info/1134/1706.htm,,,,
A34,BA,Beihang University,2020,Beijing University of Technology,https://www.bjut.edu.cn/jjyglxy/info/1118/1037.htm,,,,
A35,BA,Beihang University,1999,Tsinghua University,https://www.sem.tsinghua.edu.cn/info/1210/31988.htm,,,,
A36,BA,Beihang University,2009,Shanghai Jiao Tong University,https://www.acem.sjtu.edu.cn/faculty/qinxiao.html,,,,
A37,BA,Beihang University,2017,Shandong Technology and Business University,https://gsgl.sdtbu.edu.cn/info/1055/2927.htm,,,,
A38,BA,Beihang University,2015,Shandong Technology and Business University,https://gsgl.sdtbu.edu.cn/info/1055/2296.htm,,,,
A39,BA,Beihang University,,Qingdao University of Technology,http://glxy.qut.edu.cn/info/1010/4081.htm,,,,
A40,BA,Beihang University,2020,Qingdao University of Technology,http://glxy.qut.edu.cn/info/1010/4088.htm,,,,
A41,BA,Beihang University,2015,Shanghai University,https://ms.shu.edu.cn/info/1257/15050.htm,,,,
A42,BA,Beihang University,,Shanghai University,https://ms.shu.edu.cn/info/1257/15028.htm,,,,
A43,BA,Beihang University,2015,Beijing International Studies University,http://guoshang.bisu.edu.cn/art/2020/11/3/art_11682_256628.html,,,,
A44,BA,Beijing Forestry University,2008,Jiangxi Agricultural University,http://jingmao.jxau.edu.cn/3c/2f/c9162a80943/page.htm,,,,
A45,BA,Beijing Forestry University,2013,Jiangxi Agricultural University,http://jingmao.jxau.edu.cn/3c/15/c9164a80917/page.htm,,,,
A46,BA,Beijing Forestry University,2014,South China Agricultural University,https://cem.scau.edu.cn/2018/1121/c5618a150883/page.htm,,,,
A47,BA,Beijing Forestry University,2010,South China Agricultural University,https://cem.scau.edu.cn/2018/1121/c5617a150868/page.htm,,,,
A48,BA,Beijing Forestry University,2016,South China Agricultural University,https://cem.scau.edu.cn/2018/1121/c5617a150855/page.htm,,,,
A49,BA,Beijing Forestry University,2010,Xian Technological University,https://jgxy.xatu.edu.cn/info/1077/3614.htm,,,,
A50,MS&E,Beijing Institute of Technology,2008,Beijing Institute of Technology,,,,,
A51,MS&E,Beijing Institute of Technology,2021,Anhui University of Technology,https://ggxy.ahut.edu.cn/szdw/jsbs.htm,,,,
A52,MS&E,Beijing Institute of Technology,2009,Hebei University,http://manage.hbu.edu.cn/team_xi.php?cid=2&id=40,,,,
A53,MS&E,Beijing Institute of Technology,,Chongqing Technology & Business Institute,https://mse.ctbu.edu.cn/info/1099/8055.htm,,,,
A54,MS&E,Beijing Institute of Technology,2011,Shanxi University of Finance and Economics,http://glkx.sxufe.edu.cn/info/1180/3884.htm,,,,
A55,MS&E,Beijing Institute of Technology,2009,Capital University of Economics and Business,https://ggxy.cueb.edu.cn/szdw/xxglyxxxtx/106680.htm,,,,
A56,MS&E,Beijing Institute of Technology,2009,Capital University of Economics and Business,https://ggxy.cueb.edu.cn/szdw/sjkxydsjjzx/106367.htm,,,,
A57,MS&E,Beijing Institute of Technology,2020,Beijing University of Chemical Technology,https://sem.buct.edu.cn/2021/0913/c10400a156836/page.htm,,,,
A58,MS&E,Beijing Institute of Technology,2005,Beijing University of Chemical Technology,https://sem.buct.edu.cn/2021/0913/c12a156802/page.htm,,,,
A59,MS&E,Beijing Institute of Technology,,Xidian University,https://faculty.xidian.edu.cn/ZX8/zh_CN/index.htm,,,,
A60,MS&E,Beijing Institute of Technology,,Jiangxi University of Finance and Economics,http://business.jxufe.edu.cn/news-show-7611.html,,,,
A61,MS&E,Beijing Institute of Technology,,Beijing University of Posts and Telecommunications,https://teacher.bupt.edu.cn/jianglidan/zh_CN/index.htm,,,,
A62,MS&E,Beijing Institute of Technology,2021,Northwestern Polytechnical University,https://teacher.nwpu.edu.cn/wubei,,,,
A63,MS&E,Beijing Institute of Technology,2017,Shenzhen University,https://ma.szu.edu.cn/szll1/axx/gsglx/mj.htm,,,,
A64,MS&E,Beijing Institute of Technology,2006,Central University of Finance and Economics,http://mse.cufe.edu.cn//info/1017/1380.htm,,,,
A65,MS&E,Beijing Institute of Technology,2020,North China Electric Power University,https://business.ncepu.edu.cn/szll2/szdw/98ae8e2d76ac495aba036196d2fcd166.htm,,,,
A66,MS&E,Beijing Institute of Technology,2004,Beijing Jiaotong University,http://sem.bjtu.edu.cn/show-594-117.html,,,,
A67,MS&E,Beijing Institute of Technology,,Shandong University of Finance and Economics,https://gkgc.sdufe.edu.cn/info/1118/2673.htm,,,,
A68,MS&E,Beijing Institute of Technology,2021,Harbin Engineering University,http://homepage.hrbeu.edu.cn/web/wangzhinan,,,,
A69,MS&E,Beijing Institute of Technology,2019,University of Science and Technology Beijing,https://sem.ustb.edu.cn/szll/szdw/xk/glkxygcxa/msa/index.htm,,,,
A70,MS&E,Beijing Institute of Technology,2006,University of Science and Technology Beijing,https://sem.ustb.edu.cn/szll/szdw/xk/glkxygcxa/gmxa/index.htm,,,,
A71,MS&E,Beijing Institute of Technology,2005,Guangdong University of Technology,https://glxy.gdut.edu.cn/info/1186/1474.htm,,,,
A72,MS&E,Beijing Institute of Technology,2002,China University of Petroleum  Beijing,https://www.cup.edu.cn/sba/szdwgb/glkxygcxgb/z1/177706.htm,,,,
A73,MS&E,Beijing Institute of Technology,2003,Beijing Institute of Technology,https://sme.bit.edu.cn/gbszdw/gbjxzy/gbsglgcx/b124761.htm,,,,
A74,MS&E,Beijing Institute of Technology,2005,Beijing Institute of Technology,https://sme.bit.edu.cn/gbszdw/gbjxzy/gbsglkxywlx/b126443.htm,,,,
A75,MS&E,Beijing Institute of Technology,2008,Beijing Institute of Technology,https://sme.bit.edu.cn/gbszdw/gbjxzy/gbsglkxywlx/b129260.htm,,,,
A76,MS&E,Beijing Institute of Technology,2004,Beijing Institute of Technology,https://sme.bit.edu.cn/gbszdw/gbjxzy/gbsglkxywlx/b126434.htm,,,,
A77,MS&E,Beijing Institute of Technology,2006,Northeastern University,http://sba.neu.edu.cn/2019/1026/c5182a148958/page.htm,,,,
